scheme,rmse_mean,rmse_std,mae_mean,mae_std,k_folds
CV_classic_shuffle,0.0033163429476308014,9.91529899794772e-05,0.0024180600043861105,6.385366119234624e-05,5
TimeSeriesSplit,0.0030583768643145876,0.0006141380547784541,0.002301767146841149,0.0004516948821911315,5
