date,price
2015-01-02,24.26104736328125
2015-01-05,23.57757568359375
2015-01-06,23.579790115356445
2015-01-07,23.910432815551758
2015-01-08,24.829124450683594
2015-01-09,24.855762481689453
2015-01-12,24.24329948425293
2015-01-13,24.458539962768555
2015-01-14,24.365339279174805
2015-01-15,23.704063415527344
2015-01-16,23.519878387451172
2015-01-19,23.519878387451172
2015-01-20,24.125680923461914
2015-01-21,24.30986785888672
2015-01-22,24.94229507446289
2015-01-23,25.071006774902344
2015-01-26,25.09763526916504
2015-01-27,24.218883514404297
2015-01-28,25.588045120239258
2015-01-29,26.38469123840332
2015-01-30,25.99857521057129
2015-02-02,26.324779510498047
2015-02-03,26.32921600341797
2015-02-04,26.531147003173828
2015-02-05,26.720521926879883
2015-02-06,26.495506286621094
2015-02-09,26.6715030670166
2015-02-10,27.18390464782715
2015-02-11,27.82105827331543
2015-02-12,28.173057556152344
2015-02-13,28.31118392944336
2015-02-16,28.31118392944336
2015-02-17,28.4782657623291
2015-02-18,28.676549911499023
2015-02-19,28.616390228271484
2015-02-20,28.85031509399414
2015-02-23,29.630046844482422
2015-02-24,29.445148468017578
2015-02-25,28.692140579223633
2015-02-26,29.055278778076172
2015-02-27,28.618627548217773
2015-03-02,28.758974075317383
2015-03-03,28.81912612915039
2015-03-04,28.636445999145508
2015-03-05,28.161922454833984
2015-03-06,28.20424461364746
2015-03-09,28.32455062866211
2015-03-10,27.73863410949707
2015-03-11,27.232912063598633
2015-03-12,27.72526741027832
2015-03-13,27.533674240112305
2015-03-16,27.83665657043457
2015-03-17,28.302274703979492
2015-03-18,28.6208438873291
2015-03-19,28.404748916625977
2015-03-20,28.048297882080078
2015-03-23,28.34014320373535
2015-03-24,28.22429847717285
2015-03-25,27.486881256103516
2015-03-26,27.678476333618164
2015-03-27,27.45792579650879
2015-03-30,28.153005599975586
2015-03-31,27.720815658569336
2015-04-01,27.680707931518555
2015-04-02,27.91908836364746
2015-04-03,27.91908836364746
2015-04-06,28.371334075927734
2015-04-07,28.072803497314453
2015-04-08,27.981464385986328
2015-04-09,28.195337295532227
2015-04-10,28.315631866455078
2015-04-13,28.25994110107422
2015-04-14,28.137414932250977
2015-04-15,28.244348526000977
2015-04-16,28.108444213867188
2015-04-17,27.792095184326172
2015-04-20,28.427032470703125
2015-04-21,28.273311614990234
2015-04-22,28.654258728027344
2015-04-23,28.8881893157959
2015-04-24,29.02408790588379
2015-04-27,29.552080154418945
2015-04-28,29.086463928222656
2015-04-29,28.65872573852539
2015-04-30,27.881214141845703
2015-05-01,28.727779388427734
2015-05-04,28.672088623046875
2015-05-05,28.026020050048828
2015-05-06,27.850027084350586
2015-05-07,28.02228546142578
2015-05-08,28.550247192382812
2015-05-11,28.259424209594727
2015-05-12,28.158740997314453
2015-05-13,28.1900634765625
2015-05-14,28.847782135009766
2015-05-15,28.80751609802246
2015-05-18,29.12519645690918
2015-05-19,29.098344802856445
2015-05-20,29.096094131469727
2015-05-21,29.393644332885742
2015-05-22,29.65091323852539
2015-05-25,29.65091323852539
2015-05-26,28.997671127319336
2015-05-27,29.53905487060547
2015-05-28,29.48089027404785
2015-05-29,29.145326614379883
2015-06-01,29.2034854888916
2015-06-02,29.073740005493164
2015-06-03,29.109525680541992
2015-06-04,28.939504623413086
2015-06-05,28.78066635131836
2015-06-08,28.590505599975586
2015-06-09,28.505504608154297
2015-06-10,28.83212661743164
2015-06-11,28.767244338989258
2015-06-12,28.44957160949707
2015-06-15,28.393653869628906
2015-06-16,28.54576873779297
2015-06-17,28.478660583496094
2015-06-18,28.608413696289062
2015-06-19,28.322053909301758
2015-06-22,28.548019409179688
2015-06-23,28.418258666992188
2015-06-24,28.659868240356445
2015-06-25,28.523395538330078
2015-06-26,28.355613708496094
2015-06-29,27.858980178833008
2015-06-30,28.060317993164062
2015-07-01,28.322053909301758
2015-07-02,28.286266326904297
2015-07-03,28.286266326904297
2015-07-06,28.18783187866211
2015-07-07,28.11848258972168
2015-07-08,27.42049217224121
2015-07-09,26.8612117767334
2015-07-10,27.579330444335938
2015-07-13,28.111770629882812
2015-07-14,28.100584030151367
2015-07-15,28.371273040771484
2015-07-16,28.74936294555664
2015-07-17,28.997671127319336
2015-07-20,29.545764923095703
2015-07-21,29.25047492980957
2015-07-22,28.013334274291992
2015-07-23,27.99991226196289
2015-07-24,27.852256774902344
2015-07-27,27.465240478515625
2015-07-28,27.60169792175293
2015-07-29,27.514448165893555
2015-07-30,27.37575340270996
2015-07-31,27.136383056640625
2015-08-03,26.49656105041504
2015-08-04,25.646451950073242
2015-08-05,25.816471099853516
2015-08-06,25.87265396118164
2015-08-07,25.960290908813477
2015-08-10,26.904150009155273
2015-08-11,25.50410270690918
2015-08-12,25.89737892150879
2015-08-13,25.877147674560547
2015-08-14,26.059173583984375
2015-08-17,26.328845977783203
2015-08-18,26.18052864074707
2015-08-19,25.84568977355957
2015-08-20,25.315338134765625
2015-08-21,23.76697540283203
2015-08-24,23.173702239990234
2015-08-25,23.313030242919922
2015-08-26,24.650142669677734
2015-08-27,25.376012802124023
2015-08-28,25.459165573120117
2015-08-31,25.340055465698242
2015-09-01,24.207439422607422
2015-09-02,25.245664596557617
2015-09-03,24.80295753479004
2015-09-04,24.555761337280273
2015-09-07,24.555761337280273
2015-09-08,25.238933563232422
2015-09-09,24.75352668762207
2015-09-10,25.29735565185547
2015-09-11,25.665903091430664
2015-09-14,25.913105010986328
2015-09-15,26.131086349487305
2015-09-16,26.160308837890625
2015-09-17,25.600736618041992
2015-09-18,25.495115280151367
