date,price
2015-01-02,85.45040893554688
2015-01-05,85.51860809326172
2015-01-06,85.52623748779297
2015-01-07,85.59442138671875
2015-01-08,85.45799255371094
2015-01-09,85.71571350097656
2015-01-12,85.6929931640625
2015-01-13,85.5565414428711
2015-01-14,86.06441497802734
2015-01-15,86.74664306640625
2015-01-16,86.26151275634766
2015-01-19,86.26151275634766
2015-01-20,86.46615600585938
2015-01-21,86.10990905761719
2015-01-22,86.13263702392578
2015-01-23,86.6556396484375
2015-01-26,86.51161193847656
2015-01-27,86.78450012207031
2015-01-28,87.1180191040039
2015-01-29,87.01948547363281
2015-01-30,87.64862823486328
2015-02-02,87.5879898071289
2015-02-03,87.18622589111328
2015-02-04,87.3681411743164
2015-02-05,86.98918151855469
2015-02-06,86.30696868896484
2015-02-09,86.15535736083984
2015-02-10,85.86727905273438
2015-02-11,85.7081298828125
2015-02-12,85.57168579101562
2015-02-13,85.39737701416016
2015-02-16,85.39737701416016
2015-02-17,84.96528625488281
2015-02-18,85.32154083251953
2015-02-19,85.25334167480469
2015-02-20,85.26093292236328
2015-02-23,85.42010498046875
2015-02-24,85.93555450439453
2015-02-25,86.07955932617188
2015-02-26,86.01891326904297
2015-02-27,86.51919555664062
2015-03-02,85.81422424316406
2015-03-03,85.93555450439453
2015-03-04,86.01891326904297
2015-03-05,85.86727905273438
2015-03-06,84.87435150146484
2015-03-09,84.7454605102539
2015-03-10,84.84403991699219
2015-03-11,84.98802947998047
2015-03-12,84.79851531982422
2015-03-13,84.52562713623047
2015-03-16,84.64691162109375
2015-03-17,84.73029327392578
2015-03-18,86.0264892578125
2015-03-19,85.97344970703125
2015-03-20,86.23118591308594
2015-03-23,86.19327545166016
2015-03-24,86.61015319824219
2015-03-25,86.58744812011719
2015-03-26,86.1250228881836
2015-03-27,86.16291809082031
2015-03-30,85.90523529052734
2015-03-31,86.10228729248047
2015-04-01,86.76934814453125
2015-04-02,86.4510269165039
2015-04-03,86.4510269165039
2015-04-06,86.79206848144531
2015-04-07,86.98159790039062
2015-04-08,86.76934814453125
2015-04-09,86.45855712890625
2015-04-10,86.37517547607422
2015-04-13,86.39793395996094
2015-04-14,86.62532806396484
2015-04-15,86.890625
2015-04-16,86.98918151855469
2015-04-17,87.54253387451172
2015-04-20,87.30757141113281
2015-04-21,86.99674224853516
2015-04-22,86.59500885009766
2015-04-23,86.81484985351562
2015-04-24,87.18622589111328
2015-04-27,87.20140075683594
2015-04-28,86.7011489868164
2015-04-29,86.54195404052734
2015-04-30,86.68602752685547
2015-05-01,86.3297119140625
2015-05-04,85.99620819091797
2015-05-05,85.95825958251953
2015-05-06,85.26846313476562
2015-05-07,85.48827362060547
2015-05-08,85.84457397460938
2015-05-11,85.06381225585938
2015-05-12,85.1471939086914
2015-05-13,85.01835632324219
2015-05-14,85.177490234375
2015-05-15,85.76878356933594
2015-05-18,85.3139877319336
2015-05-19,84.90464782714844
2015-05-20,85.13203430175781
2015-05-21,85.45799255371094
2015-05-22,85.60201263427734
2015-05-25,85.60201263427734
2015-05-26,85.67022705078125
2015-05-27,85.59442138671875
2015-05-28,85.54137420654297
2015-05-29,85.81422424316406
2015-06-01,85.28363037109375
2015-06-02,84.93495178222656
2015-06-03,84.4119644165039
2015-06-04,84.64691162109375
2015-06-05,84.4119644165039
2015-06-08,84.52562713623047
2015-06-09,84.33613586425781
2015-06-10,84.0329360961914
2015-06-11,84.44982147216797
2015-06-12,84.49530792236328
2015-06-15,84.7682113647461
2015-06-16,85.26846313476562
2015-06-17,85.3670425415039
2015-06-18,85.16233825683594
2015-06-19,85.35943603515625
2015-06-22,84.98046112060547
2015-06-23,84.79090118408203
2015-06-24,84.94255065917969
2015-06-25,84.8515853881836
2015-06-26,84.47257995605469
2015-06-29,85.09415435791016
2015-06-30,84.93495178222656
2015-07-01,84.62419128417969
2015-07-02,84.9956283569336
2015-07-03,84.9956283569336
2015-07-06,85.32913970947266
2015-07-07,85.6095962524414
2015-07-08,85.71571350097656
2015-07-09,85.16233825683594
2015-07-10,84.76063537597656
2015-07-13,84.46500396728516
2015-07-14,84.60140991210938
2015-07-15,84.83641052246094
2015-07-16,84.94255065917969
2015-07-17,84.9122085571289
2015-07-20,84.68480682373047
2015-07-21,84.88191986083984
2015-07-22,84.91980743408203
2015-07-23,85.06381225585938
2015-07-24,84.97286224365234
2015-07-27,85.1471939086914
2015-07-28,84.94255065917969
2015-07-29,84.93495178222656
2015-07-30,85.05623626708984
2015-07-31,85.3897705078125
2015-08-03,85.3139877319336
2015-08-04,84.83641052246094
2015-08-05,84.57112884521484
2015-08-06,84.72270202636719
2015-08-07,84.95767974853516
2015-08-10,84.83641052246094
2015-08-11,85.18509674072266
2015-08-12,84.98802947998047
2015-08-13,84.76063537597656
2015-08-14,84.669677734375
2015-08-17,84.66210174560547
2015-08-18,84.4574203491211
2015-08-19,84.7454605102539
2015-08-20,84.98046112060547
2015-08-21,85.01074981689453
2015-08-24,84.71513366699219
2015-08-25,84.51046752929688
2015-08-26,84.00259399414062
2015-08-27,84.4119644165039
2015-08-28,84.65450286865234
2015-08-31,84.57865905761719
2015-09-01,84.42511749267578
2015-09-02,84.15908813476562
2015-09-03,84.16668701171875
2015-09-04,84.30357360839844
2015-09-07,84.30357360839844
2015-09-08,83.9234848022461
2015-09-09,84.1135025024414
2015-09-10,84.13634490966797
2015-09-11,84.37196350097656
2015-09-14,84.21234130859375
2015-09-15,83.64224243164062
2015-09-16,83.61942291259766
2015-09-17,84.27312469482422
2015-09-18,84.53916931152344
