model,rmse,mae,mape_pct
Baseline_Naive,0.0048376356467972,0.0036899374326618,156278.5571667907
Baseline_MA_k5,0.0036291789523646,0.0027478556721127,116908.85197553287
Baseline_MA_k10,0.0035131562773166,0.0026783515081333,90385.84582504867
Baseline_MA_k20,0.0034251780481261,0.0025930449288003,68564.77038825149
Baseline_SES,0.0033187346993682,0.0025043638624247,6875.410997177407
