date,price,log_return,r_t
2015-01-02,1.2021000385284424,-0.0005738169891477,-0.0005738169891477
2015-01-05,1.2015000581741333,-0.0004992347667097,-0.0004992347667097
2015-01-06,1.2013299465179443,-0.0001415927519974,-0.0001415927519974
2015-01-07,1.200899958610535,-0.0003579906411818,-0.0003579906411818
2015-01-08,1.200899958610535,0.0,0.0
2015-01-09,1.2009299993515017,2.5014877401213205e-05,2.5014877401213205e-05
2015-01-12,1.20100998878479,6.660402317544155e-05,6.660402317544155e-05
2015-01-13,1.2007999420166016,-0.0001749070698977,-0.0001749070698977
2015-01-14,1.2007999420166016,0.0,0.0
2015-01-15,1.2007999420166016,0.0,0.0
2015-01-16,0.9941999912261964,-0.1888048471963602,-0.1888048471963602
2015-01-19,0.9923999905586244,-0.0018121425316174,-0.0018121425316174
2015-01-20,1.0199999809265137,0.0274316452748539,0.0274316452748539
2015-01-21,1.0096999406814575,-0.0101494103172268,-0.0101494103172268
2015-01-22,0.9989299774169922,-0.0107237937453296,-0.0107237937453296
2015-01-23,0.9886999726295472,-0.0102937622964505,-0.0102937622964505
2015-01-26,0.9805399775505066,-0.0082875037980638,-0.0082875037980638
2015-01-27,1.0139000415802002,0.033456183546943,0.033456183546943
2015-01-28,1.0219000577926636,0.0078593742035976,0.0078593742035976
2015-01-29,1.0233999490737915,0.0014666714369174,0.0014666714369174
2015-01-30,1.0455000400543213,0.0213649105706433,0.0213649105706433
2015-02-02,1.041800022125244,-0.0035452706312442,-0.0035452706312442
2015-02-03,1.051300048828125,0.0090775324786497,0.0090775324786497
2015-02-04,1.0597000122070312,0.0079583206728612,0.0079583206728612
2015-02-05,1.0479300022125244,-0.0111690688317429,-0.0111690688317429
2015-02-06,1.057600021362305,0.0091854184278978,0.0091854184278978
2015-02-09,1.0480999946594238,-0.0090232142156245,-0.0090232142156245
2015-02-10,1.0471999645233154,-0.0008590943626176,-0.0008590943626176
2015-02-11,1.048799991607666,0.0015267437296155,0.0015267437296155
2015-02-12,1.0505000352859497,0.0016196294270796,0.0016196294270796
2015-02-13,1.0606199502944946,0.009587321036545,0.009587321036545
2015-02-16,1.0621000528335571,0.00139453416065,0.00139453416065
2015-02-17,1.0564700365066528,-0.0053149335096607,-0.0053149335096607
2015-02-18,1.0676300525665283,0.0105080912220913,0.0105080912220913
2015-02-19,1.0736000537872314,0.0055762495329448,0.0055762495329448
2015-02-20,1.0789999961853027,0.0050171454054377,0.0050171454054377
2015-02-23,1.0705000162124634,-0.0079088385482387,-0.0079088385482387
2015-02-24,1.077299952507019,0.0063320226404552,0.0063320226404552
2015-02-25,1.0774999856948853,0.0001856628867436,0.0001856628867436
2015-02-26,1.0781999826431274,0.0006494382178657,0.0006494382178657
2015-02-27,1.0673500299453735,-0.0101139988566375,-0.0101139988566375
2015-03-02,1.065000057220459,-0.0022041161912679,-0.0022041161912679
2015-03-03,1.0714000463485718,0.0059913948350251,0.0059913948350251
2015-03-04,1.0743900537490845,0.0027868609660912,0.0027868609660912
2015-03-05,1.067399978637695,-0.0065273437863282,-0.0065273437863282
2015-03-06,1.0740200281143188,0.0061828791596275,0.0061828791596275
2015-03-09,1.0676000118255615,-0.0059954944389295,-0.0059954944389295
2015-03-10,1.069499969482422,0.0017780713808844,0.0017780713808844
2015-03-11,1.0686999559402466,-0.000748305684604,-0.000748305684604
2015-03-12,1.064210057258606,-0.0042101216515045,-0.0042101216515045
2015-03-13,1.0653400421142578,0.0010612429001197,0.0010612429001197
2015-03-16,1.055050015449524,-0.0097058627565661,-0.0097058627565661
2015-03-17,1.065400004386902,0.0097621458050389,0.0097621458050389
2015-03-18,1.065629959106445,0.000215815567472,0.000215815567472
2015-03-19,1.0643999576568604,-0.0011549148456763,-0.0011549148456763
2015-03-20,1.055899977684021,-0.0080177576443936,-0.0080177576443936
2015-03-23,1.0579999685287476,0.0019868409943476,0.0019868409943476
2015-03-24,1.0575000047683716,-0.0004726672427275,-0.0004726672427275
2015-03-25,1.0462000370025637,-0.010743049124484,-0.010743049124484
2015-03-26,1.0527000427246094,0.0061937455379717,0.0061937455379717
2015-03-27,1.0484000444412231,-0.0040930980042006,-0.0040930980042006
2015-03-30,1.0462000370025637,-0.002100647533771,-0.002100647533771
2015-03-31,1.047600030899048,0.0013372758235912,0.0013372758235912
2015-04-01,1.0439000129699707,-0.0035381512898522,-0.0035381512898522
2015-04-02,1.0404499769210815,-0.0033104221616679,-0.0033104221616679
2015-04-03,1.0434999465942385,0.0029271066606803,0.0029271066606803
2015-04-06,1.0473999977111816,0.0037305043223502,0.0037305043223502
2015-04-07,1.0472999811172483,-9.549491098513113e-05,-9.549491098513113e-05
2015-04-08,1.0449999570846558,-0.0021985614175687,-0.0021985614175687
2015-04-09,1.0419299602508545,-0.0029421199272752,-0.0029421199272752
2015-04-10,1.0421099662780762,0.0001727471968055,0.0001727471968055
2015-04-13,1.0386699438095093,-0.0033064771396305,-0.0033064771396305
2015-04-14,1.033079981803894,-0.0053963806170847,-0.0053963806170847
2015-04-15,1.0356999635696411,0.0025328775757973,0.0025328775757973
2015-04-16,1.0301799774169922,-0.0053439691046674,-0.0053439691046674
2015-04-17,1.0290100574493408,-0.0011362915260092,-0.0011362915260092
2015-04-20,1.0282000303268433,-0.0007875006730452,-0.0007875006730452
2015-04-21,1.0267000198364258,-0.0014599354910002,-0.0014599354910002
2015-04-22,1.0253900289535522,-0.0012767383786038,-0.0012767383786038
2015-04-23,1.0398999452590942,0.014051445778756,0.014051445778756
