date,r_t,lag_1,lag_5,lag_10,lag_21,roll_mean_5,roll_std_5,roll_mean_21,roll_std_21,roll_mean_63,roll_std_63,target_next_return
2015-03-31,0.0013372758235912,-0.002100647533771,-0.0004726672427275,0.0097621458050389,-0.0022041161912679,-0.0018811546601785402,0.006305480789839928,-0.0007844280830007617,0.005505286905069503,-0.0021927303685978354,0.025306483921836508,-0.0035381512898522
2015-04-01,-0.0035381512898522,0.0013372758235912,-0.010743049124484,0.000215815567472,0.0059913948350251,-0.00044017509325218024,0.004268099862260942,-0.0012382159937092047,0.0053080622669675545,-0.0022397832940058435,0.025306181114906196,-0.0033104221616679
2015-04-02,-0.0033104221616679,-0.0035381512898522,0.0061937455379717,-0.0011549148456763,0.0027868609660912,-0.0023410086331801003,0.002181185474502551,-0.0015285628093167807,0.005243247885282089,-0.0022844053161480376,0.02530554098446204,0.0029271066606803
2015-04-03,0.0029271066606803,-0.0033104221616679,-0.0040930980042006,-0.0080177576443936,-0.0065273437863282,-0.0009369677002039202,0.0029093318466068695,-0.001078350883268757,0.0051982768325405755,-0.0022356958016610897,0.025312684508782223,0.0037305043223502
2015-04-06,0.0037305043223502,0.0029271066606803,-0.002100647533771,0.0019868409943476,0.0061828791596275,0.00022926267102031973,0.0034455596463843735,-0.0011951306374248189,0.005052498785139464,-0.002170799056208201,0.025322815243081217,-9.549491098513113e-05
2015-04-07,-9.549491098513113e-05,0.0037305043223502,0.0013372758235912,-0.0004726672427275,-0.0059954944389295,-5.729147589494649e-05,0.0033894960190416898,-0.0009141782789512775,0.004934890914693113,-0.00217231484844606,0.025322686063694443,-0.0021985614175687
2015-04-08,-0.0021985614175687,-9.549491098513113e-05,-0.0035381512898522,-0.010743049124484,0.0017780713808844,0.00021062649856175357,0.0030848210955380377,-0.0011035417455442825,0.004902608334561356,-0.0022076097102709793,0.025321123585733248,-0.0029421199272752
2015-04-09,-0.0029421199272752,-0.0021985614175687,-0.0033104221616679,0.0061937455379717,-0.000748305684604,0.0002842869454402935,0.00298242274906899,-0.0012080090904333872,0.0049180095809404556,-0.002255367233294005,0.0253196023594995,0.0001727471968055
2015-04-10,0.0001727471968055,-0.0029421199272752,0.0029271066606803,-0.0040930980042006,-0.0042101216515045,-0.0002665849473346665,0.002602404065170977,-0.000999301050037673,0.004877065884787742,-0.0022498489116003035,0.025320100982256333,-0.0033064771396305
2015-04-13,-0.0033064771396305,0.0001727471968055,0.0037305043223502,-0.002100647533771,0.0010612429001197,-0.0016739812397308066,0.001616356084327694,-0.0012072877185972063,0.004877931044453167,-0.0023023326757214226,0.025318789070354317,-0.0053963806170847
2015-04-14,-0.0053963806170847,-0.0033064771396305,-9.549491098513113e-05,0.0013372758235912,-0.0097058627565661,-0.00273415838095072,0.0020121622788702867,-0.0010020742833838062,0.004584335194393707,-0.0023879895109132432,0.025320002649745182,0.0025328775757973
2015-04-15,0.0025328775757973,-0.0053963806170847,-0.0021985614175687,-0.0035381512898522,0.0097621458050389,-0.0017878705822775205,0.0031294044488903053,-0.00134632515144293,0.003965232352350314,0.000649117231501955,0.008462644794527577,-0.0053439691046674
2015-04-16,-0.0053439691046674,0.0025328775757973,-0.0029421199272752,-0.0033104221616679,0.000215815567472,-0.0022682404177559604,0.0035118534307138167,-0.001611076802497187,0.004040608020719884,0.0005930564922471932,0.00849086360623449,-0.0011362915260092
2015-04-17,-0.0011362915260092,-0.0053439691046674,0.0001727471968055,0.0029271066606803,-0.0011549148456763,-0.0025300481623189005,0.0033283865970911547,-0.0016101899777511345,0.004040715186414501,0.0001395971779477788,0.00776634781110944,-0.0007875006730452
2015-04-20,-0.0007875006730452,-0.0011362915260092,-0.0033064771396305,0.0037305043223502,-0.0080177576443936,-0.00202625286900184,0.003371839656126426,-0.0012658920267345443,0.00376615265213276,0.00028819891833161375,0.0076550704840277406,-0.0014599354910002
2015-04-21,-0.0014599354910002,-0.0007875006730452,-0.0053963806170847,-9.549491098513113e-05,0.0019868409943476,-0.0012389638437849402,0.002799153664708362,-0.0014300242403225347,0.0036916782747731104,0.0004352442874479534,0.007528051025662811,-0.0012767383786038
2015-04-22,-0.0012767383786038,-0.0014599354910002,0.0025328775757973,-0.0021985614175687,-0.0004726672427275,-0.0020008870346651603,0.0018850099092312458,-0.0014683133420309298,0.003685416846583923,0.0005783716512232979,0.007405495952438346,0.014051445778756
2015-04-23,0.014051445778756,-0.0012767383786038,-0.0053439691046674,-0.0029421199272752,-0.010743049124484,0.00187819594201952,0.006809512037540644,-0.00028762310854331093,0.004456531880386986,0.0009329581524426597,0.007508236174136957,-0.0064056612579504
2015-04-24,-0.0064056612579504,0.014051445778756,-0.0011362915260092,0.0001727471968055,0.0061937455379717,0.0008243219956312797,0.007737243060319599,-0.0008875948607300776,0.004387918020609665,0.00030023045712689153,0.006306726183191954,0.0026483159392316
2015-04-27,0.0026483159392316,-0.0064056612579504,-0.0007875006730452,-0.0033064771396305,-0.0040930980042006,0.0015114853180866398,0.007710832236701937,-0.000566575149138068,0.00438827858695448,0.00021751524658139947,0.006239803445977746,0.0026990451833389
2015-04-28,0.0026990451833389,0.0026483159392316,-0.0014599354910002,-0.0053963806170847,-0.002100647533771,0.00234328145295446,0.00753241773750676,-0.0003380183530852157,0.004429185448926229,0.000237076734619836,0.00624571157304817,0.0094850761241576
