feature,importance_mean,importance_std
lag5,1.554300143564539e-06,5.894183819926536e-06
roll_mean_5,-8.883269835158713e-06,6.772325213049875e-06
roll_std_20,-1.286090222029377e-05,5.002994181429336e-06
lag1,-1.8120182032163678e-05,9.915849470722206e-06
